Date - Time,Lat,Long,Depth,Mag,Location,
26 December 2019 - 01:57 AM,6.72,124.97,1,3.2,010 km S 17° E of Columbio (Sultan Kudarat),
26 December 2019 - 01:57 AM,8.17,124.46,33,2.2,006 km N 49° E of Tagoloan Ii (Lanao Del Sur),
26 December 2019 - 01:51 AM,6.62,125.16,6,3.5,007 km S 56° W of Kiblawan (Davao Del Sur),
26 December 2019 - 12:56 AM,3.64,126.72,34,5.4,242 km S 35° E of Sarangani (Davao Occidental),
26 December 2019 - 12:49 AM,6.62,125.16,18,1.9,007 km S 58° W of Kiblawan (Davao Del Sur),
26 December 2019 - 12:23 AM,14.02,121.04,5,2.7,008 km S 08° E of Talisay (Batangas),
25 December 2019 - 11:59 PM,6.77,125.02,11,2.5,009 km S 63° E of Columbio (Sultan Kudarat),
25 December 2019 - 11:44 PM,6.77,125.07,7,3.9,015 km S 83° W of Bansalan (Davao Del Sur),
25 December 2019 - 11:40 PM,6.9,125.02,1,2.9,010 km S 50° W of Makilala (Cotabato),
25 December 2019 - 10:18 PM,6.62,125.23,31,2.4,004 km S 22° E of Kiblawan (Davao Del Sur),
25 December 2019 - 10:11 PM,6.66,125.44,1,3.2,009 km N 77° E of Padada (Davao Del Sur),
25 December 2019 - 09:56 PM,9.66,123.63,19,2.3,015 km S 67° E of Alcoy (Cebu),
25 December 2019 - 09:12 PM,6.53,125.36,2,2.9,008 km S 09° E of Sulop (Davao Del Sur),
25 December 2019 - 07:21 PM,6.56,125.31,3,2.6,006 km S 44° W of Sulop (Davao Del Sur),
25 December 2019 - 06:56 PM,6.77,125.06,6,3.2,013 km S 71° E of Columbio (Sultan Kudarat),
25 December 2019 - 05:33 PM,6.8,125.12,12,2.2,011 km N 80° W of Bansalan (Davao Del Sur),
25 December 2019 - 04:44 PM,18.45,120.89,32,2.8,012 km S 49° E of Dumalneg (Ilocos Norte),
25 December 2019 - 04:27 PM,9.64,126.19,48,2.4,017 km S 13° E of General Luna (Surigao Del Norte),
25 December 2019 - 03:44 PM,6.54,125.23,28,2.3,013 km S 06° E of Kiblawan (Davao Del Sur),
25 December 2019 - 01:43 PM,6.73,124.93,24,2.8,014 km N 86° E of Buluan (Maguindanao),
25 December 2019 - 12:42 PM,16.66,122.64,1,3.3,043 km N 70° E of Dinapigue (Isabela),
25 December 2019 - 10:56 AM,6.71,125.27,1,2.7,004 km S 69° E of Matanao (Davao Del Sur),
